,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
159,openat,fstat,fcntl,fcntl,,,,,,,,,,,
160,getdents,faccessat,getdents,close,,,,,,,,,,,
161,faccessat,getdents,close,openat,,,,,,,,,,,
162,sched_getaffinity,sched_getaffinity,sched_setaffinity,sched_setaffinity,,,,,,,,,,,
163,clock_getres,epoll_create1,pipe2,write,,,,,,,,,,,
164,pipe2,eventfd2,rt_sigprocmask,read,,,,,,,,,,,
165,epoll_ctl,epoll_ctl,ioctl,epoll_ctl,,,,,,,,,,,
166,open,fcntl,read,close,,,,,,,,,,,
167,close,open,fcntl,read,,,,,,,,,,,
168,setsockopt,setsockopt,setsockopt,setsockopt,,,,,,,,,,,
169,setsockopt,setsockopt,connect,epoll_ctl,,,,,,,,,,,
170,read,write,write,rt_sigreturn,,,,,,,,,,,
171,mmap2,mmap2,close,munmap,,,,,,,,,,,
172,close,munmap,arch_prctl,set_tid_address,,,,,,,,,,,
173,stat,openat,stat,writev,,,,,,,,,,,
174,read,munmap,close,openat,,,,,,,,,,,
175,openat,read,close,mmap2,,,,,,,,,,,
176,rt_sigaction,write,rt_sigprocmask,rt_sigaction,,,,,,,,,,,
177,stat,rt_sigaction,rt_sigaction,rt_sigaction,,,,,,,,,,,
178,pipe,clone,close,stat,,,,,,,,,,,
179,dup2,close,execve,rt_sigaction,,,,,,,,,,,
180,dup2,close,execve,brk,,,,,,,,,,,
181,mmap2,close,mmap2,mmap2,,,,,,,,,,,
182,read,exit_group,read,close,,,,,,,,,,,
183,read,exit_group,wait4,rt_sigreturn,,,,,,,,,,,
184,wait4,rt_sigreturn,wait4,rt_sigreturn,,,,,,,,,,,
185,wait4,rt_sigreturn,exit_group,wait4,,,,,,,,,,,
186,fcntl,dup2,close,stat,,,,,,,,,,,
187,geteuid,getuid,brk,brk,,,,,,,,,,,
188,lseek,fstat,read,close,,,,,,,,,,,
189,fstat,write,read,exit_group,,,,,,,,,,,
190,close,wait4,rt_sigreturn,wait4,,,,,,,,,,,
191,close,mmap2,arch_prctl,mmap2,,,,,,,,,,,
192,fstat,read,close,openat,,,,,,,,,,,
193,exit_group,wait4,rt_sigreturn,read,,,,,,,,,,,
194,read,fstat,write,read,,,,,,,,,,,
195,stat,openat,openat,openat,,,,,,,,,,,
196,openat,fstat,getdents,stat,,,,,,,,,,,
197,mmap2,mprotect,clone,futex,,,,,,,,,,,
198,sendto,poll,recvfrom,recvfrom,,,,,,,,,,,
199,poll,recvfrom,close,write,,,,,,,,,,,
200,close,write,epoll_pwait,read,,,,,,,,,,,
201,setsockopt,connect,epoll_ctl,epoll_pwait,,,,,,,,,,,
202,futex,futex,open,fcntl,,,,,,,,,,,
203,mmap2,munmap,munmap,mprotect,,,,,,,,,,,
204,brk,openat,read,close,,,,,,,,,,,
205,recvmsg,recvmsg,recvmsg,close,,,,,,,,,,,
206,read,close,futex,futex,,,,,,,,,,,
207,fcntl,fcntl,fcntl,fcntl,,,,,,,,,,,
208,close,close,close,close,,,,,,,,,,,
209,stat,stat,stat,mkdir,,,,,,,,,,,
210,fcntl,read,read,close,,,,,,,,,,,
211,futex,madvise,exit,futex,,,,,,,,,,,
212,mmap2,read,read,close,,,,,,,,,,,
213,fstat,write,close,openat,,,,,,,,,,,
214,getdents,getdents,close,openat,,,,,,,,,,,
215,futex,futex,futex,read,,,,,,,,,,,
216,mprotect,mprotect,mprotect,mmap2,,,,,,,,,,,
217,fstatat,fstatat,fstatat,fstatat,,,,,,,,,,,
218,read,read,read,close,,,,,,,,,,,
219,nanosleep,futex,futex,nanosleep,,,,,,,,,,,
220,close,rename,openat,fstat,,,,,,,,,,,
221,fstat,read,read,read,,,,,,,,,,,
222,close,openat,openat,fstat,,,,,,,,,,,
223,getuid,brk,brk,fstat,,,,,,,,,,,
224,read,close,socket,bind,,,,,,,,,,,
225,rt_sigprocmask,clone,rt_sigprocmask,prlimit64,,,,,,,,,,,
226,wait4,rt_sigaction,rt_sigaction,rt_sigprocmask,,,,,,,,,,,
227,nanosleep,nanosleep,futex,futex,,,,,,,,,,,
228,rt_sigaction,rt_sigprocmask,prlimit64,brk,brk,,,,,,,,,,
229,fstat,read,lseek,read,close,,,,,,,,,,
230,faccessat,faccessat,faccessat,faccessat,uname,,,,,,,,,,
231,close,openat,fstat,fcntl,fcntl,,,,,,,,,,
232,fcntl,getdents,faccessat,getdents,close,,,,,,,,,,
233,getdents,close,openat,read,close,,,,,,,,,,
234,openat,openat,openat,stat,openat,,,,,,,,,,
235,close,sched_getaffinity,sched_getaffinity,sched_setaffinity,sched_setaffinity,,,,,,,,,,
236,eventfd2,epoll_ctl,epoll_ctl,ioctl,epoll_ctl,,,,,,,,,,
237,read,close,open,fcntl,read,,,,,,,,,,
238,setsockopt,setsockopt,setsockopt,connect,epoll_ctl,,,,,,,,,,
239,mprotect,mmap2,mmap2,close,munmap,,,,,,,,,,
240,mmap2,close,munmap,arch_prctl,set_tid_address,,,,,,,,,,
241,openat,stat,openat,stat,writev,,,,,,,,,,
242,mmap2,read,munmap,close,openat,,,,,,,,,,
243,munmap,close,openat,read,close,,,,,,,,,,
244,read,rt_sigaction,write,rt_sigprocmask,rt_sigaction,,,,,,,,,,
245,stat,stat,rt_sigaction,rt_sigaction,rt_sigaction,,,,,,,,,,
246,stat,pipe,clone,close,stat,,,,,,,,,,
247,stat,pipe,clone,close,close,,,,,,,,,,
248,fcntl,dup2,close,execve,rt_sigaction,,,,,,,,,,
249,stat,openat,stat,openat,openat,,,,,,,,,,
