,0,1,2,3,4,5,6,7,8,9,10
247,writev,close,writev,writev,writev,writev,writev,writev,writev,writev,17.0
248,writev,writev,writev,writev,17,,,,,,
249,writev,writev,writev,writev,writev,writev,writev,writev,17,,
250,writev,writev,writev,writev,writev,writev,writev,writev,writev,writev,17.0
251,brk,brk,brk,brk,open,open,brk,brk,writev,readv,16.0
252,brk,brk,brk,open,open,brk,brk,writev,readv,brk,16.0
253,brk,brk,open,open,brk,brk,writev,readv,16,,
254,brk,brk,open,open,brk,brk,writev,readv,brk,brk,16.0
255,brk,brk,writev,readv,brk,16,,,,,
256,brk,brk,writev,readv,brk,brk,brk,16,,,
257,brk,brk,writev,readv,brk,brk,brk,open,ioctl,writev,16.0
258,brk,open,open,brk,brk,writev,readv,16,,,
259,brk,open,open,brk,brk,writev,readv,brk,brk,brk,16.0
260,brk,writev,readv,brk,brk,16,,,,,
261,brk,writev,readv,brk,brk,brk,open,16,,,
262,brk,writev,readv,brk,brk,brk,open,ioctl,writev,close,16.0
263,close,fstat,write,16,,,,,,,
264,close,openat,fstat,fcntl,16,,,,,,
265,close,openat,openat,openat,openat,16,,,,,
266,close,openat,openat,openat,openat,openat,openat,16,,,
267,close,openat,openat,openat,openat,openat,openat,openat,read,close,16.0
268,close,openat,read,close,openat,openat,openat,16,,,
269,close,openat,read,close,openat,openat,openat,openat,openat,openat,16.0
270,close,openat,read,close,openat,read,close,openat,openat,openat,16.0
271,close,openat,read,close,openat,read,close,openat,read,close,16.0
272,close,sched_getaffinity,sched_getaffinity,16,,,,,,,
273,epoll_ctl,close,16,,,,,,,,
274,fstat,fcntl,16,,,,,,,,
275,mmap2,close,mmap2,arch_prctl,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,16.0
276,mmap2,mmap2,mprotect,readlink,mmap2,mmap2,16,,,,
277,mmap2,mmap2,mprotect,readlink,mmap2,mmap2,mprotect,mmap2,mprotect,mmap2,16.0
278,mmap2,mprotect,readlink,mmap2,mmap2,mprotect,16,,,,
279,mmap2,mprotect,readlink,mmap2,mmap2,mprotect,mmap2,mprotect,mmap2,16,
280,mprotect,readlink,mmap2,mmap2,mprotect,16,,,,,
281,mprotect,readlink,mmap2,mmap2,mprotect,mmap2,mprotect,mmap2,16,,
282,open,brk,brk,writev,readv,16,,,,,
283,open,brk,brk,writev,readv,brk,brk,16,,,
284,open,brk,brk,writev,readv,brk,brk,brk,open,ioctl,16.0
285,open,mmap2,mmap2,mprotect,readlink,mmap2,16,,,,
286,open,mmap2,mmap2,mprotect,readlink,mmap2,mmap2,mprotect,mmap2,mprotect,16.0
287,open,open,brk,brk,writev,readv,brk,16,,,
288,open,open,brk,brk,writev,readv,brk,brk,brk,open,16.0
289,openat,fstat,fcntl,16,,,,,,,
290,openat,openat,openat,openat,openat,openat,openat,read,close,openat,16.0
291,openat,openat,openat,openat,openat,openat,read,16,,,
292,openat,openat,openat,openat,openat,openat,read,close,openat,read,16.0
293,openat,openat,openat,openat,openat,read,close,16,,,
294,openat,openat,openat,openat,openat,read,close,openat,read,close,16.0
295,openat,openat,openat,openat,read,close,openat,16,,,
296,openat,openat,openat,openat,read,close,openat,read,close,openat,16.0
297,openat,openat,openat,read,close,openat,read,16,,,
298,openat,openat,openat,read,close,openat,read,close,openat,read,16.0
299,openat,openat,read,close,openat,read,16,,,,
300,openat,openat,read,close,openat,read,close,openat,read,close,16.0
301,openat,read,close,openat,fstat,fcntl,16,,,,
302,openat,read,close,openat,openat,openat,openat,openat,16,,
303,openat,read,close,openat,openat,openat,openat,openat,openat,openat,16.0
304,openat,read,close,openat,read,close,16,,,,
305,openat,read,close,openat,read,close,openat,openat,openat,openat,16.0
306,openat,read,close,openat,read,close,openat,read,close,openat,16.0
307,openat,stat,openat,stat,openat,stat,openat,stat,writev,exit_group,16.0
308,openat,stat,openat,stat,openat,stat,writev,exit_group,16,,
309,openat,stat,openat,stat,writev,exit_group,16,,,,
310,openat,stat,writev,exit_group,16,,,,,,
311,read,close,openat,fstat,fcntl,16,,,,,
312,read,close,openat,openat,openat,openat,openat,16,,,
313,read,close,openat,openat,openat,openat,openat,openat,openat,read,16.0
314,read,close,openat,read,close,openat,openat,16,,,
315,read,close,openat,read,close,openat,openat,openat,openat,openat,16.0
316,read,close,openat,read,close,openat,read,close,openat,openat,16.0
317,read,close,openat,read,close,openat,read,close,openat,read,16.0
318,read,write,write,rt_sigreturn,16,,,,,,
319,readv,brk,brk,brk,open,16,,,,,
320,readv,brk,brk,brk,open,ioctl,writev,16,,,
321,readv,brk,brk,brk,open,ioctl,writev,close,writev,writev,16.0
322,sched_getaffinity,sched_getaffinity,sched_setaffinity,sched_setaffinity,16,,,,,,
323,sched_getaffinity,sched_setaffinity,sched_setaffinity,16,,,,,,,
324,sched_setaffinity,sched_setaffinity,16,,,,,,,,
325,socket,setsockopt,setsockopt,setsockopt,16,,,,,,
326,stat,openat,stat,openat,stat,openat,stat,openat,stat,writev,16.0
327,stat,openat,stat,openat,stat,openat,stat,writev,exit_group,16,
328,stat,openat,stat,openat,stat,writev,exit_group,16,,,
329,stat,openat,stat,writev,exit_group,16,,,,,
330,stat,writev,exit_group,16,,,,,,,
331,writev,exit_group,16,,,,,,,,
332,writev,readv,brk,brk,brk,16,,,,,
333,writev,readv,brk,brk,brk,open,ioctl,16,,,
334,writev,readv,brk,brk,brk,open,ioctl,writev,close,writev,16.0
335,brk,openat,read,close,15,,,,,,
336,close,futex,futex,futex,futex,15,,,,,
337,close,sched_getaffinity,sched_getaffinity,sched_setaffinity,sched_setaffinity,15,,,,,
338,fcntl,read,15,,,,,,,,
339,futex,futex,openat,15,,,,,,,
340,mmap2,mmap2,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,15.0
341,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,close,15.0
342,openat,write,15,,,,,,,,
343,setsid,chdir,15,,,,,,,,
344,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,15.0
345,write,openat,15,,,,,,,,
346,close,close,exit_group,14,,,,,,,
347,close,open,fcntl,14,,,,,,,
348,connect,epoll_ctl,14,,,,,,,,
349,mmap2,mprotect,brk,14,,,,,,,
350,mprotect,brk,14,,,,,,,,
351,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,set_tid_address,set_robust_list,rt_sigaction,14.0
352,open,fcntl,14,,,,,,,,
353,openat,fcntl,14,,,,,,,,
354,openat,fstat,read,read,close,14,,,,,
355,read,close,stat,14,,,,,,,
356,setsockopt,connect,epoll_ctl,14,,,,,,,
357,close,close,close,close,13,,,,,,
358,close,mmap2,arch_prctl,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,13.0
359,close,munmap,arch_prctl,set_tid_address,13,,,,,,
360,close,openat,openat,read,close,openat,read,13,,,
361,close,openat,openat,read,close,openat,read,close,openat,13,
362,close,openat,read,close,openat,openat,read,close,openat,read,13.0
363,close,openat,read,close,openat,read,close,openat,openat,read,13.0
364,faccessat,faccessat,faccessat,faccessat,faccessat,faccessat,13,,,,
365,faccessat,faccessat,faccessat,faccessat,faccessat,uname,13,,,,
366,faccessat,faccessat,faccessat,faccessat,uname,13,,,,,
367,faccessat,faccessat,faccessat,uname,13,,,,,,
368,faccessat,faccessat,uname,13,,,,,,,
369,faccessat,getdents,close,openat,13,,,,,,
370,faccessat,uname,13,,,,,,,,
371,fcntl,close,openat,read,close,13,,,,,
372,fcntl,close,openat,read,close,openat,read,13,,,
373,fcntl,close,openat,read,close,openat,read,close,openat,read,13.0
374,fcntl,getdents,faccessat,getdents,close,13,,,,,
375,futex,futex,futex,futex,futex,futex,futex,futex,futex,13,
376,futex,open,13,,,,,,,,
377,getdents,faccessat,getdents,close,13,,,,,,
378,lseek,write,13,,,,,,,,
379,lstat,unlink,13,,,,,,,,
380,mmap2,close,munmap,arch_prctl,set_tid_address,13,,,,,
381,mmap2,openat,13,,,,,,,,
382,mprotect,mmap2,mprotect,mmap2,mmap2,close,13,,,,
383,munmap,arch_prctl,set_tid_address,13,,,,,,,
384,munmap,close,13,,,,,,,,
385,open,fstat,mmap2,13,,,,,,,
386,openat,read,close,openat,openat,read,close,13,,,
387,openat,read,close,openat,openat,read,close,openat,read,close,13.0
388,openat,read,close,openat,read,close,openat,openat,read,close,13.0
389,read,brk,13,,,,,,,,
390,read,close,fstat,write,13,,,,,,
391,read,close,openat,openat,read,close,openat,read,13,,
392,read,close,openat,openat,read,close,openat,read,close,openat,13.0
393,read,close,openat,read,close,openat,openat,read,close,openat,13.0
394,read,rt_sigprocmask,rt_sigaction,write,13,,,,,,
395,read,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,13,,
396,read,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,write,rt_sigprocmask,13.0
397,readlink,open,open,13,,,,,,,
398,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,13,,,,
399,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,write,13.0
400,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,read,13,,,,
401,rt_sigprocmask,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,13.0
402,sched_getaffinity,openat,13,,,,,,,,
403,brk,brk,open,read,12,,,,,,
404,brk,brk,openat,read,close,12,,,,,
405,brk,close,12,,,,,,,,
406,brk,open,read,12,,,,,,,
407,clone,futex,12,,,,,,,,
408,close,brk,12,,,,,,,,
409,close,openat,fstat,read,read,close,12,,,,
410,close,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,openat,12.0
411,close,socket,bind,12,,,,,,,
412,fstat,mmap2,mprotect,mmap2,mmap2,close,openat,read,fstat,mmap2,12.0
413,fstat,read,read,close,openat,12,,,,,
414,fstatat,openat,12,,,,,,,,
415,futex,brk,brk,12,,,,,,,
416,futex,futex,open,12,,,,,,,
417,getpid,openat,12,,,,,,,,
418,mmap2,mprotect,mmap2,mprotect,mmap2,mmap2,12,,,,
419,mmap2,mprotect,mmap2,mprotect,mmap2,mmap2,close,munmap,12,,
420,mmap2,munmap,munmap,mprotect,12,,,,,,
421,munmap,mprotect,12,,,,,,,,
422,munmap,munmap,mprotect,12,,,,,,,
423,openat,futex,12,,,,,,,,
424,openat,lseek,fstat,12,,,,,,,
425,openat,openat,fstat,fstat,read,12,,,,,
426,openat,openat,fstat,fstat,read,lseek,read,close,12,,
427,openat,read,close,mmap2,12,,,,,,
428,openat,read,fstat,mmap2,mprotect,mmap2,mmap2,close,openat,read,12.0
429,read,close,mmap2,12,,,,,,,
