,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
116,fcntl,fcntl,fcntl,fcntl,,,,,,,,,,,
117,close,close,close,close,,,,,,,,,,,
118,stat,stat,stat,mkdir,,,,,,,,,,,
119,fcntl,read,read,close,,,,,,,,,,,
120,mmap2,read,read,close,,,,,,,,,,,
121,fstat,write,close,openat,,,,,,,,,,,
122,getdents,getdents,close,openat,,,,,,,,,,,
123,futex,futex,futex,read,,,,,,,,,,,
124,mprotect,mprotect,mprotect,mmap2,,,,,,,,,,,
125,read,read,read,close,,,,,,,,,,,
126,nanosleep,futex,futex,nanosleep,,,,,,,,,,,
127,close,rename,openat,fstat,,,,,,,,,,,
128,fstat,read,read,read,,,,,,,,,,,
129,close,openat,openat,fstat,,,,,,,,,,,
130,getuid,brk,brk,fstat,,,,,,,,,,,
131,read,close,socket,bind,,,,,,,,,,,
132,nanosleep,nanosleep,futex,futex,,,,,,,,,,,
133,fstat,read,lseek,read,close,,,,,,,,,,
134,close,openat,fstat,fcntl,fcntl,,,,,,,,,,
