,support,itemsets
44,0.10113960113960115,"frozenset({'00ae07c9fe63b080181b8a6d59c6b3b6f9913938858829e5a42ab90fb72edf7a.out_converted.csv', '0d7960a39b92dad88986deea6e5861bd00fb301e92d550c232aebb36ed010e46.out_converted.csv'})"
45,0.0868945868945869,"frozenset({'00ae07c9fe63b080181b8a6d59c6b3b6f9913938858829e5a42ab90fb72edf7a.out_converted.csv', '26d1a32a2bfb4beaf986d1b798f7f9705f11d6372b56332c612e58cc470634b4.out_converted.csv'})"
46,0.10113960113960115,"frozenset({'00ae07c9fe63b080181b8a6d59c6b3b6f9913938858829e5a42ab90fb72edf7a.out_converted.csv', '2d39779ad930fe8c1f181285a8cd5a57f23cc871e1716a201206c8499cf4b9af.out_converted.csv'})"
47,0.09971509971509972,"frozenset({'00ae07c9fe63b080181b8a6d59c6b3b6f9913938858829e5a42ab90fb72edf7a.out_converted.csv', '3fac250cf6bdb0bf5b1707a970bd233e86dabc0765fede8238d761fb0f27c3da.out_converted.csv'})"
48,0.10113960113960115,"frozenset({'00ae07c9fe63b080181b8a6d59c6b3b6f9913938858829e5a42ab90fb72edf7a.out_converted.csv', '8b44e74ab90b411576e99868cb6ad522ea06d62e4312ed2064a7dd72860063f6.out_converted.csv'})"
49,0.10398860398860399,"frozenset({'00ae07c9fe63b080181b8a6d59c6b3b6f9913938858829e5a42ab90fb72edf7a.out_converted.csv', 'a796c302688bee0f9b78a723caca6e335081e8b87b19a7427593c1fee1fe10dd.out_converted.csv'})"
50,0.09544159544159544,"frozenset({'00ae07c9fe63b080181b8a6d59c6b3b6f9913938858829e5a42ab90fb72edf7a.out_converted.csv', 'a8fd2b696d0d819b13ccfac61686eea8a0638e67df3e3e869fbc95507d22b6ec.out_converted.csv'})"
51,0.09401709401709402,"frozenset({'df8262a8a7208da235127a10b07fa9b87de71eb2cc9667899da60ad255a90c76.out_converted.csv', '00ae07c9fe63b080181b8a6d59c6b3b6f9913938858829e5a42ab90fb72edf7a.out_converted.csv'})"
52,0.08974358974358974,"frozenset({'00ae07c9fe63b080181b8a6d59c6b3b6f9913938858829e5a42ab90fb72edf7a.out_converted.csv', 'f414ae8a6c2e908d9f3408cba59423b1e67f2506bac0465acbdaa771e1c77286.out_converted.csv'})"
53,0.10256410256410256,"frozenset({'00ae07c9fe63b080181b8a6d59c6b3b6f9913938858829e5a42ab90fb72edf7a.out_converted.csv', 'fabfb91bec618ce6fc7d83331e6d01ff3256ef60e11a76dd3a7306442fb22f80.out_converted.csv'})"
54,0.09401709401709402,"frozenset({'fbba7bc092f8f36da650dde4e3b1af6f6ac656f054bfb20738b2f864bceb4d5a.out_converted.csv', '00ae07c9fe63b080181b8a6d59c6b3b6f9913938858829e5a42ab90fb72edf7a.out_converted.csv'})"
55,0.14387464387464388,"frozenset({'04b5e29283c60fcc255f8d2f289238430a10624e457f12f1bc866454110830a2.out_converted.csv', '1e48915f40bfdd75fb83e79779010336320af76411b9af9f0e68d361e63a2f60.out_converted.csv'})"
56,0.1452991452991453,"frozenset({'04b5e29283c60fcc255f8d2f289238430a10624e457f12f1bc866454110830a2.out_converted.csv', '346599bff197dc24dba9875c1b765c160881919c3582dc0fae99c4c2cf5c8836.out_converted.csv'})"
57,0.09259259259259259,"frozenset({'04b5e29283c60fcc255f8d2f289238430a10624e457f12f1bc866454110830a2.out_converted.csv', '64ef1e8134f02ab53f0fb2c3e8fde3cd1f4186635643bfbda6db7d00fd2a4881.out_converted.csv'})"
58,0.1452991452991453,"frozenset({'04b5e29283c60fcc255f8d2f289238430a10624e457f12f1bc866454110830a2.out_converted.csv', '78f92857e18107872526feb1ae834edb9b7189df4a2129a4125a3dd8917f9983.out_converted.csv'})"
59,0.10398860398860399,"frozenset({'04b5e29283c60fcc255f8d2f289238430a10624e457f12f1bc866454110830a2.out_converted.csv', 'b2617562e8abe0ed490725e51626cb5330d4e1c8a9b128e30958732bd96a77a8.out_converted.csv'})"
60,0.12535612535612536,"frozenset({'04b5e29283c60fcc255f8d2f289238430a10624e457f12f1bc866454110830a2.out_converted.csv', 'c34523bce4a4730a1ce69a4ef0c961db845c43b17a8457b9e79c02914c1874de.out_converted.csv'})"
61,0.16951566951566951,"frozenset({'04b5e29283c60fcc255f8d2f289238430a10624e457f12f1bc866454110830a2.out_converted.csv', 'c36050a2036ff0a1b42f9beb667914046a16071dfb6675424a56ea3874c686ff.out_converted.csv'})"
62,0.10256410256410256,"frozenset({'04b5e29283c60fcc255f8d2f289238430a10624e457f12f1bc866454110830a2.out_converted.csv', 'c7e39dfd0f42a9a8254bca7c4c20c393dce022fcb011fe7170af1538767d620f.out_converted.csv'})"
63,0.10256410256410256,"frozenset({'04b5e29283c60fcc255f8d2f289238430a10624e457f12f1bc866454110830a2.out_converted.csv', 'fabfb91bec618ce6fc7d83331e6d01ff3256ef60e11a76dd3a7306442fb22f80.out_converted.csv'})"
64,0.09116809116809117,"frozenset({'04b5e29283c60fcc255f8d2f289238430a10624e457f12f1bc866454110830a2.out_converted.csv', 'fadc69995b9f837837595d73be8dce1bbccf0b709d0d8bb2cadf1c90b46763cf.out_converted.csv'})"
65,0.0868945868945869,"frozenset({'26d1a32a2bfb4beaf986d1b798f7f9705f11d6372b56332c612e58cc470634b4.out_converted.csv', '0d7960a39b92dad88986deea6e5861bd00fb301e92d550c232aebb36ed010e46.out_converted.csv'})"
66,0.10113960113960115,"frozenset({'0d7960a39b92dad88986deea6e5861bd00fb301e92d550c232aebb36ed010e46.out_converted.csv', '2d39779ad930fe8c1f181285a8cd5a57f23cc871e1716a201206c8499cf4b9af.out_converted.csv'})"
67,0.10113960113960115,"frozenset({'0d7960a39b92dad88986deea6e5861bd00fb301e92d550c232aebb36ed010e46.out_converted.csv', '3fac250cf6bdb0bf5b1707a970bd233e86dabc0765fede8238d761fb0f27c3da.out_converted.csv'})"
68,0.10256410256410256,"frozenset({'0d7960a39b92dad88986deea6e5861bd00fb301e92d550c232aebb36ed010e46.out_converted.csv', '8b44e74ab90b411576e99868cb6ad522ea06d62e4312ed2064a7dd72860063f6.out_converted.csv'})"
69,0.10113960113960115,"frozenset({'0d7960a39b92dad88986deea6e5861bd00fb301e92d550c232aebb36ed010e46.out_converted.csv', 'a796c302688bee0f9b78a723caca6e335081e8b87b19a7427593c1fee1fe10dd.out_converted.csv'})"
